name: demented dog
  genus: canis
  glyph: d ltgray black
	hp: 3d5 + 20
	speed: 160
	senses: sight smell hearing
	attack:
	  verb: bite / bites
	  speed: 150
	  to_hit: 0
	  pierce: 8
	done
	attack:
	  verb: tackle / tackles
	  speed: 100
	  weight: 2
	  to_hit: +3
	  pierce: 4
	  bash: 8
	done
	AI:
	  awareness: 2
	  attention: 30
	  goals:
	    attack_enemies
		  attack_neutrals
	  done
	done
done

name: dog
  genus: canis
  glyph: d white black
done
 
name: mutant rabbit
  genus: mutant rabbits
  glyph: R brown black
done

Name: wolf
  genus: canis
  glyph: W gray black
	hp: 3d5 + 30
	speed: 160
	senses: sight smell hearing
	attack:
	  verb: bite / bites
	  speed: 150
	  to_hit: 0
	  pierce: 12
	done
	attack:
	  verb: tackle / tackles
	  speed: 100
	  weight: 2
	  to_hit: +3
	  pierce: 4
	  bash: 10
	done
	AI:
	  awareness: 2
	  attention: 30
	  recognizes: fields
	  goals:
	    attack_enemies
		  attack_neutrals
	  done
	done
done

Name: zombie dog
  genus: zombies
  glyph: d ltgreen black
	hp: 3d5 + 25
	speed: 130
	senses: sight smell hearing
		attack:
	  verb: bite / bites
	  speed: 150
	  to_hit: -1
	  pierce: 8
	done
	AI:
	  awareness: 1
	  attention: 25
	  goals:
	    attack_enemies
		  attack_neutrals
	  done
	done
done

name: zombie
  genus: zombies
  glyph: Z ltgreen black
done
